Date/Time,Step Count (steps),Active Energy (kcal),Resting Energy (kcal),Apple Exercise Time (min),Apple Stand Time (min),Walking + Running Distance (mi),Flights Climbed (count),VO2 Max (ml/(kg·min)),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [In Bed] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Resting Heart Rate (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Blood Oxygen Saturation (%),Walking Heart Rate Average (bpm),Heart Rate [Avg] (bpm),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Apple Sleeping Wrist Temperature (ºF),Alcohol Consumption (count),Dietary Energy (kcal),Protein (g)
2025-11-27,7801,776.5,2042,16,183,3.22,7,43.88,7.43,0,8.28,3.98,1.18,2.27,0.85,64,67.06,14.09,98.08,96,85.6,48,137,97.68,0,9999,999
2025-11-28,12570,1078.2,2021,39,165,5.12,2,43.29,6.44,0,6.73,3.11,1.27,2.07,0.29,66,46.25,14.45,98.36,90,87.2,56,156,98.3,2,9999,999
2025-11-29,9566,815.4,1979,47,182,4.38,11,43.01,7.6,0,7.98,4.69,0.97,1.94,0.38,63,52.62,14.7,96.74,105,82.2,51,150,97.38,4,9999,999
2025-11-30,5852,621.3,2047,9,176,2.75,10,43.56,7.03,0,7.36,3.81,1.26,1.97,0.33,64,51.06,15.14,97.47,97,87.4,52,155,97.6,0,9999,999
2025-12-01,16291,1169.0,2019,59,142,7.27,8,42.96,7.32,0,7.77,3.74,1.55,2.02,0.45,65,58.91,14.26,97.26,93,89.5,53,170,97.82,0,9999,999
2025-12-02,7039,645.3,2011,1,174,3.35,0,44.08,7.4,0,7.93,4.56,0.98,1.86,0.53,64,67.49,14.18,96.95,98,84.9,54,141,97.55,0,9999,999
2025-12-03,6047,673.9,2092,41,188,2.62,1,43.77,,0,8.5,4.59,1.34,2.34,0.23,59,57.91,14.27,96.63,97,90.9,49,180,98.01,0,9999,999
2025-12-04,8100,716.2,2046,36,157,3.41,7,43.86,7.61,0,7.81,4.88,1.04,1.69,0.21,59,70.14,15.06,96.92,96,85.5,49,151,97.41,0,9999,999
2025-12-05,12367,916.7,2096,20,152,5.82,2,43.91,8.1,0,8.43,5.28,1.0,1.82,0.33,61,55.55,14.71,96.65,97,83.1,51,146,97.61,1,9999,999
2025-12-06,11625,1156.1,2027,60,152,5.37,5,43.27,8.64,0,9.48,5.56,1.2,1.87,0.85,61,68.09,15.43,97.14,98,81.0,53,140,97.43,2,9999,999
2025-12-07,9899,967.3,2042,17,115,4.56,1,43.33,8.34,0,8.96,5.03,0.94,2.37,0.62,56,53.07,15.17,96.86,102,76.0,42,137,97.58,0,9999,999
2025-12-08,11524,1009.2,2042,42,205,4.98,5,42.41,8.39,0,9.15,5.3,1.22,1.87,0.76,58,73.74,14.69,95.46,99,74.7,47,170,97.68,0,9999,999
2025-12-09,8474,795.3,1960,10,133,3.86,10,43.31,7.32,0,7.57,4.4,1.17,1.74,0.26,62,61.4,15.43,97.6,96,90.9,50,150,97.36,0,9999,999
2025-12-10,9069,741.1,2036,35,175,4.02,4,43.0,7.43,0,7.96,4.87,0.7,1.86,0.53,64,67.51,15.12,98.34,98,83.5,56,160,97.17,0,9999,999
2025-12-11,9785,849.4,2003,21,164,4.54,0,43.67,8.02,0,8.42,5.45,1.22,1.35,0.4,61,61.69,13.69,95.84,90,78.9,50,139,97.4,0,9999,999
2025-12-12,10249,876.1,1992,33,160,4.69,5,43.25,8.51,0,8.99,5.71,1.06,1.74,0.48,60,66.21,14.97,95.95,102,81.8,50,155,97.28,0,9999,999
2025-12-13,10158,899.2,2046,45,134,4.42,17,43.66,7.03,0,7.52,3.82,1.0,2.21,0.49,62,59.84,14.28,97.07,98,82.9,51,157,97.4,0,9999,999
2025-12-14,9763,899.0,1987,18,159,4.54,5,42.89,7.88,0,8.14,5.25,0.9,1.73,0.26,60,77.16,15.48,97.28,96,76.9,50,145,97.28,0,9999,999
2025-12-15,12788,1032.4,1988,28,168,5.63,3,42.79,8.07,0,8.55,5.71,1.0,1.37,0.48,62,58.87,14.31,96.34,103,83.5,51,160,97.66,0,9999,999
2025-12-16,9907,902.6,1988,8,140,4.39,0,43.08,9.01,0,9.2,6.2,1.26,1.55,0.19,56,70.67,15.52,97.21,102,73.4,43,133,97.46,0,9999,999
2025-12-17,10228,1024.3,2062,60,147,4.67,9,43.23,7.27,0,7.54,4.03,0.95,2.29,0.28,62,51.77,15.6,96.71,98,87.9,53,160,97.94,0,9999,999
2025-12-18,5655,760.4,1983,12,163,2.59,1,43.44,8.36,0,8.6,5.39,1.01,1.96,0.24,61,72.21,15.14,96.77,106,88.2,49,150,97.35,0,9999,999
2025-12-19,11176,1018.1,2053,48,128,4.86,11,44.37,7.74,0,8.33,4.87,1.18,1.69,0.58,61,72.06,14.75,97.33,104,82.7,51,156,97.41,1,9999,999
2025-12-20,8532,959.4,1984,35,159,3.72,4,43.74,,0,7.67,4.14,0.9,2.17,0.47,63,58.25,14.68,97.41,100,87.3,51,169,97.7,4,9999,999
2025-12-21,14307,1060.4,2030,31,164,6.54,11,43.7,7.04,0,7.21,4.08,0.93,2.03,0.17,64,61.82,14.94,97.0,93,81.6,52,164,97.41,0,9999,999
2025-12-22,8341,693.5,2068,23,156,3.61,9,44.08,7.51,0,8.08,4.67,1.07,1.77,0.57,60,57.92,14.23,97.12,95,89.6,51,155,97.25,0,9999,999
2025-12-23,11458,889.8,2039,4,217,5.39,15,43.76,7.22,0,7.51,4.59,1.0,1.63,0.29,64,53.51,15.25,96.92,104,83.4,52,136,97.0,0,9999,999
2025-12-24,14718,1248.2,2011,42,158,6.84,2,43.38,7.71,0,7.95,4.88,0.99,1.85,0.24,61,65.26,15.03,97.47,106,85.2,47,143,97.4,0,9999,999
2025-12-25,8480,872.4,2041,18,179,3.81,10,43.83,7.76,0,8.24,4.52,1.42,1.81,0.48,59,63.37,15.44,97.98,100,79.8,46,149,97.81,0,9999,999
2025-12-26,10596,934.3,2042,56,173,4.8,9,43.33,7.58,0,8.09,5.07,0.83,1.68,0.51,62,50.98,16.24,95.35,96,87.5,52,162,97.7,2,9999,999
2025-12-27,13799,1027.4,2055,64,179,6.05,7,43.68,7.52,0,7.85,4.89,0.77,1.87,0.33,58,75.71,15.51,97.59,96,86.8,50,175,97.07,2,9999,999
2025-12-28,5973,649.4,2020,27,112,2.8,8,43.51,6.55,0,7.16,3.53,1.11,1.92,0.61,62,53.34,14.86,96.82,93,87.5,53,144,97.03,0,9999,999
2025-12-29,9011,968.5,1999,61,156,4.06,9,44.53,8.13,0,8.55,5.57,1.23,1.32,0.42,63,56.41,15.66,96.34,99,80.0,53,159,97.88,0,9999,999
2025-12-30,7913,713.1,2086,17,167,3.58,1,44.74,7.17,0,7.7,4.04,1.15,1.98,0.53,63,63.24,14.64,96.86,99,86.0,50,147,97.19,0,9999,999
2025-12-31,8069,895.4,2091,32,180,3.6,10,43.38,6.95,0,7.28,3.73,0.82,2.4,0.33,62,58.64,14.71,97.17,100,88.4,50,158,96.97,0,9999,999
2026-01-01,6144,406.2,2049,0,185,2.65,13,44.97,7.03,0,7.38,3.84,1.15,2.04,0.35,60,65.49,13.93,97.75,102,78.9,51,138,97.12,0,9999,999
2026-01-02,10445,803.9,2044,13,141,4.63,9,43.88,7.13,0,7.34,3.76,1.47,1.9,0.21,61,59.58,15.17,96.93,101,82.6,49,148,96.84,0,9999,999
2026-01-03,10742,986.1,2066,63,148,4.56,7,44.28,5.89,0,6.25,3.13,0.83,1.92,0.36,66,68.73,14.41,96.26,100,83.5,55,167,97.9,3,9999,999
2026-01-04,3436,624.8,2035,7,169,1.68,4,43.4,7.8,0,8.33,4.53,0.66,2.61,0.52,58,73.85,15.84,97.98,97,84.9,46,139,97.15,0,9999,999
2026-01-05,7966,759.4,1970,44,147,3.62,13,44.13,7.38,0,7.86,4.54,0.82,2.01,0.48,62,57.98,15.81,97.25,100,81.7,50,172,97.97,0,9999,999
2026-01-06,8192,824.6,2005,19,132,3.62,5,43.89,,0,7.69,4.08,1.21,1.88,0.52,62,59.36,14.92,96.61,100,81.0,52,137,96.89,0,9999,999
2026-01-07,10828,1171.3,2063,48,172,4.8,15,44.68,7.99,0,8.2,4.78,0.82,2.39,0.21,61,59.48,14.92,96.56,101,78.6,50,165,97.35,0,9999,999
2026-01-08,10419,887.5,1993,8,118,4.9,11,43.92,7.7,0,8.25,4.85,0.65,2.19,0.55,61,58.84,15.44,96.1,95,87.1,49,146,97.21,0,9999,999
2026-01-09,8838,1009.9,2054,66,163,4.21,7,44.1,6.43,0,6.9,3.72,0.98,1.72,0.47,62,58.6,14.54,97.29,94,77.7,49,160,97.41,2,9999,999
2026-01-10,3794,639.6,2076,48,146,1.66,6,44.39,7.58,0,8.09,4.62,1.03,1.92,0.51,59,58.24,13.89,97.62,109,83.4,49,165,97.27,0,9999,999
2026-01-11,7432,633.8,2038,19,169,3.38,14,43.82,6.8,0,7.31,3.09,1.42,2.29,0.51,61,62.21,14.9,97.37,96,88.7,50,147,97.22,0,9999,999
2026-01-12,6035,755.5,1983,51,129,2.75,0,44.3,7.26,0,7.8,4.55,0.74,1.96,0.55,61,61.28,15.3,97.79,101,79.1,50,176,98.07,0,9999,999
2026-01-13,6883,733.0,1986,17,158,3.26,2,44.02,8.38,0,8.97,5.37,0.98,2.03,0.59,58,87.55,15.0,97.52,96,83.7,45,158,97.22,0,9999,999
2026-01-14,7250,832.1,2036,22,139,3.23,6,43.98,7.54,0,7.98,4.58,1.48,1.48,0.43,61,53.06,14.23,96.22,102,80.6,51,155,97.52,0,9999,999
2026-01-15,6100,710.2,2013,4,159,2.93,3,42.99,7.53,0,7.91,4.56,1.29,1.68,0.38,60,64.2,15.33,97.31,104,78.9,50,143,97.1,0,9999,999
2026-01-16,8915,971.7,2061,57,147,3.79,8,43.17,7.71,0,8.22,4.91,0.79,2.01,0.52,63,59.02,14.69,97.42,100,89.9,51,171,97.46,1,9999,999
2026-01-17,12903,1140.2,2038,65,179,5.72,1,43.8,7.51,0,8.14,4.97,1.14,1.4,0.63,61,56.89,15.85,96.4,96,78.1,46,180,97.27,2,9999,999
2026-01-18,7684,640.2,2035,21,141,3.35,10,43.91,7.49,0,7.9,4.41,0.83,2.25,0.41,60,64.4,14.78,96.5,90,76.3,47,162,97.63,0,9999,999
2026-01-19,12203,1118.4,2089,35,139,5.52,7,43.32,7.81,0,8.0,5.13,0.96,1.72,0.19,60,61.76,15.56,96.88,102,85.0,49,162,96.88,0,9999,999
2026-01-20,4241,675.8,1979,29,156,1.94,13,43.72,8.21,0,8.59,5.34,1.05,1.82,0.38,59,77.45,14.63,96.24,93,83.7,49,146,97.56,0,9999,999
2026-01-21,9487,988.8,2053,56,159,4.29,11,43.51,8.4,0,8.75,5.58,1.09,1.73,0.35,61,69.75,15.4,96.14,95,81.8,51,166,97.21,0,9999,999
2026-01-22,8002,759.2,2062,16,141,3.47,16,44.52,6.97,0,7.4,4.3,1.23,1.43,0.44,60,49.92,14.93,97.39,96,75.8,48,164,97.43,0,9999,999
2026-01-23,12205,1098.9,2075,45,150,5.66,8,43.49,,0,7.57,4.61,0.67,1.88,0.4,60,56.05,14.22,97.08,99,82.8,48,179,97.87,0,9999,999
2026-01-24,6313,766.5,2036,47,162,2.68,10,43.47,7.38,0,7.55,4.28,1.57,1.53,0.17,59,67.04,14.13,97.14,95,85.0,49,158,98.03,3,9999,999
2026-01-25,5021,383.4,2041,12,188,2.38,12,43.11,8.33,0,8.63,5.91,0.86,1.56,0.29,61,51.32,15.5,97.65,102,78.5,51,139,98.05,0,9999,999
2026-01-26,5736,686.8,2095,35,135,2.26,2,43.32,6.92,0,7.47,4.03,1.14,1.76,0.55,62,53.59,14.05,97.06,100,82.7,50,174,97.43,0,9999,999
2026-01-27,10325,833.8,2021,23,126,4.55,6,44.03,7.98,0,8.26,5.25,1.36,1.37,0.28,61,66.89,16.11,96.82,93,87.3,48,159,97.54,0,9999,999
2026-01-28,10142,1102.8,1993,62,104,4.4,8,43.97,8.45,0,8.97,5.24,1.37,1.83,0.52,58,74.61,14.27,97.66,98,70.5,50,181,98.48,0,9999,999
2026-01-29,10610,892.5,1982,21,175,4.59,10,44.19,7.55,0,7.89,4.51,1.25,1.8,0.34,63,75.47,15.37,96.8,99,84.2,52,156,96.89,0,9999,999
2026-01-30,12663,970.0,2028,61,125,6.11,13,44.4,6.77,0,7.48,4.14,0.96,1.67,0.71,61,63.39,14.32,97.47,108,81.6,51,177,97.72,1,9999,999
2026-01-31,7776,772.5,2048,53,171,3.38,5,43.66,7.73,0,8.24,5.01,0.73,1.99,0.5,60,66.33,15.56,96.61,100,75.6,48,168,97.09,4,9999,999
2026-02-01,12560,1042.4,2029,21,197,5.58,4,43.85,7.45,0,7.84,4.53,1.09,1.83,0.38,64,61.42,15.25,96.95,98,87.7,51,147,97.26,0,9999,999
2026-02-02,14857,1113.8,2025,70,106,6.58,11,43.41,7.77,0,8.12,4.5,1.06,2.21,0.35,63,61.26,14.84,96.56,100,79.8,50,184,97.65,0,9999,999
2026-02-03,10890,882.7,2039,22,106,4.81,7,44.57,8.24,0,8.86,5.68,1.29,1.26,0.63,65,65.57,15.66,98.1,95,75.4,55,155,96.77,0,9999,999
2026-02-04,13374,1102.2,2074,49,160,6.05,12,43.76,7.34,0,7.77,4.16,1.09,2.09,0.43,63,63.56,15.35,97.29,102,84.4,51,167,97.72,1,9999,999
2026-02-05,8370,748.8,2026,0,141,3.97,7,43.99,7.38,0,7.73,5.45,0.63,1.3,0.35,62,61.89,15.23,96.84,106,81.5,53,148,97.44,0,9999,999
2026-02-06,8548,851.7,2101,51,211,3.95,5,43.37,8.17,0,8.59,5.18,1.19,1.79,0.42,62,66.49,14.55,97.02,96,83.0,50,165,97.69,2,9999,999
2026-02-07,7015,857.3,2003,59,171,3.12,12,43.68,7.85,0,8.26,5.29,1.07,1.48,0.42,57,75.89,14.67,96.53,90,79.6,45,152,97.07,0,9999,999
2026-02-08,8852,719.2,2061,11,125,3.76,8,44.25,7.39,0,7.87,5.28,0.93,1.18,0.47,60,68.83,15.18,97.11,100,78.4,52,152,97.45,0,9999,999
2026-02-09,6645,913.6,2051,66,145,2.92,1,43.71,,0,7.89,5.55,0.9,1.16,0.28,65,60.63,14.48,96.9,100,88.7,54,155,97.96,0,9999,999
2026-02-10,8894,796.3,2063,0,143,4.02,4,44.87,7.74,0,8.26,5.17,0.58,2.0,0.52,58,63.52,15.06,97.14,95,80.8,47,153,97.18,0,9999,999
2026-02-11,7527,871.9,2038,37,195,3.28,19,44.63,7.12,0,7.36,4.31,1.03,1.78,0.25,62,68.19,15.27,97.37,97,78.5,49,160,97.07,0,9999,999
2026-02-12,10226,945.8,2007,24,166,4.45,4,43.61,8.04,0,8.33,5.31,1.02,1.71,0.29,61,63.53,15.21,97.0,99,84.3,50,155,97.3,0,9999,999
2026-02-13,9828,933.8,2082,45,159,4.0,9,43.69,7.76,0,8.37,4.29,1.54,1.93,0.61,62,63.53,15.08,97.39,97,83.6,53,162,97.79,0,9999,999
2026-02-14,10366,1012.2,2087,43,140,4.88,14,44.6,7.44,0,7.79,4.37,1.17,1.9,0.35,63,58.49,15.87,97.31,95,84.8,53,167,97.95,3,9999,999
2026-02-15,9956,877.9,2039,11,171,4.57,9,44.3,8.2,0,8.56,5.65,0.88,1.66,0.36,64,73.31,14.55,97.58,98,78.8,51,161,97.58,0,9999,999
