Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2025-11-27,Walking,Cardio,134.5,26,,,,,
2025-11-28,Walking,Cardio,215.6,33,,,,,
2025-11-28,Cycling,Cardio,251.6,29,,,,,
2025-11-29,Walking,Cardio,109.0,18,,,,,
2025-11-29,Interval Training,Cardio,384.6,48,,,,,
2025-11-30,Walking,Cardio,172.9,31,,,,,
2025-12-01,Walking,Cardio,76.5,8,,,,,
2025-12-02,Walking,Cardio,144.5,22,,,,,
2025-12-03,Walking,Cardio,131.0,19,,,,,
2025-12-04,Walking,Cardio,152.7,22,,,,,
2025-12-04,Cycling,Cardio,233.1,24,,,,,
2025-12-05,Walking,Cardio,197.1,25,,,,,
2025-12-05,Interval Training,Cardio,270.9,30,,,,,
2025-12-06,Walking,Cardio,135.3,20,,,,,
2025-12-07,Walking,Cardio,113.9,18,,,,,
2025-12-07,Cycling,Cardio,292.5,35,,,,,
2025-12-08,Walking,Cardio,144.8,19,,,,,
2025-12-08,Interval Training,Cardio,221.6,27,,,,,
2025-12-09,Walking,Cardio,39.3,8,,,,,
2025-12-10,Walking,Cardio,85.3,16,,,,,
2025-12-10,Cycling,Cardio,460.1,56,,,,,
2025-12-11,Walking,Cardio,121.8,14,,,,,
2025-12-12,Walking,Cardio,240.5,29,,,,,
2025-12-12,Strength Training,Strength,198.0,26,5,8,135,,
2025-12-13,Walking,Cardio,164.1,19,,,,,
2025-12-14,Walking,Cardio,115.3,25,,,,,
2025-12-14,Interval Training,Cardio,396.3,48,,,,,
2025-12-15,Walking,Cardio,279.9,43,,,,,
2025-12-15,Strength Training,Strength,302.5,39,5,8,135,,
2025-12-16,Walking,Cardio,38.4,8,,,,,
2025-12-17,Walking,Cardio,148.0,18,,,,,
2025-12-18,Walking,Cardio,154.3,25,,,,,
2025-12-18,Strength Training,Strength,401.1,48,5,8,135,,
2025-12-19,Walking,Cardio,164.7,24,,,,,
2025-12-20,Walking,Cardio,121.0,13,,,,,
2025-12-20,Interval Training,Cardio,379.2,38,,,,,
2025-12-21,Walking,Cardio,88.4,20,,,,,
2025-12-22,Walking,Cardio,165.6,28,,,,,
2025-12-23,Walking,Cardio,138.4,30,,,,,
2025-12-23,Interval Training,Cardio,360.6,39,,,,,
2025-12-24,Walking,Cardio,68.6,13,,,,,
2025-12-24,Strength Training,Strength,301.2,36,5,8,135,,
2025-12-25,Walking,Cardio,239.6,34,,,,,
2025-12-26,Walking,Cardio,69.6,18,,,,,
2025-12-26,Interval Training,Cardio,422.5,54,,,,,
2025-12-27,Walking,Cardio,157.4,31,,,,,
2025-12-28,Walking,Cardio,127.8,22,,,,,
2025-12-29,Walking,Cardio,184.2,34,,,,,
2025-12-30,Walking,Cardio,189.8,27,,,,,
2025-12-30,Strength Training,Strength,223.9,28,5,8,135,,
2025-12-31,Walking,Cardio,149.6,22,,,,,
2026-01-01,Walking,Cardio,134.0,26,,,,,
2026-01-02,Walking,Cardio,143.7,17,,,,,
2026-01-03,Walking,Cardio,134.8,26,,,,,
